zip_code,infection_score
14642,2
11795,0
10601,3
14850,10
11803,2
11714,0
11968,Not Available
11203,1
10467,0
12742,Not Available
11794,0
13790,0
11691,2
11206,3
11213,7
10457,4
11787,5
28025,5
28803,0
27030,Not Available
27261,5
28352,10
27534,7
28139,Not Available
27103,0
28144,0
28779,Not Available
28791,4
27330,Not Available
28150,4
28732,Not Available
28328,Not Available
28503,0
28302,4
27710,0
28054,7
28086,Not Available
28677,3
27835,7
28645,1
28546,4
27157,0
27704,Not Available
28359,4
28607,Not Available
28204,0
27288,Not Available
27514,0
28659,Not Available
28472,10
27610,2
27216,7
28334,10
27609,4
28655,10
28275,0
28803,Not Available
27577,6
27401,4
27292,Not Available
28621,Not Available
28210,0
27910,Not Available
28345,Not Available
27886,0
27909,2
28203,3
27607,4
28374,0
28601,4
28001,Not Available
28349,Not Available
27203,10
27893,4
27565,Not Available
28117,Not Available
28112,1
28560,10
27536,0
27892,Not Available
28401,2
28557,3
28602,0
28625,Not Available
28092,2
27804,0
27103,Not Available
27870,10
27710,0
28422,Not Available
28256,0
28105,0
27518,4
28078,0
28721,10
27889,Not Available
58501,7
58701,3
58122,3
58506,10
58201,8
58104,3
45255,0
44805,Not Available
45267,0
43214,2
45662,0
45804,0
44622,Not Available
43302,1
43213,4
45365,Not Available
45701,Not Available
45236,0
43215,0
44309,0
44870,2
45385,Not Available
44307,8
43402,Not Available
45885,Not Available
43222,0
44691,Not Available
44115,0
43701,5
43050,Not Available
44129,2
45331,Not Available
45056,Not Available
43699,8
45409,4
45406,0
45631,Not Available
44482,4
45014,0
45828,Not Available
44109,0
44501,8
44857,Not Available
45801,1
43606,8
44708,0
45891,Not Available
43130,3
43560,10
44146,0
45005,2
44111,0
44266,10
45429,0
43935,Not Available
43616,Not Available
44119,1
44710,10
43218,0
45242,0
44113,0
44883,Not Available
43537,6
44256,1
43040,Not Available
45840,10
43920,0
44077,0
44811,Not Available
43812,Not Available
43608,0
44903,7
43506,Not Available
44145,10
44004,Not Available
44601,Not Available
45013,0
45405,0
45220,2
44106,1
44501,10
44125,5
44122,3
44035,0
45750,5
44654,Not Available
44223,10
44646,Not Available
43228,6
44130,3
45601,7
44481,5
45219,0
43113,Not Available
44053,10
45373,0
45177,Not Available
45242,8
44195,0
44460,Not Available
43140,Not Available
44024,0
43311,Not Available
43725,Not Available
43015,Not Available
43952,0
43055,10
44124,1
45211,5
45103,10
45342,0
44084,10
43616,Not Available
43623,Not Available
45804,Not Available
43054,Not Available
43512,Not Available
45408,Not Available
44512,0
43016,Not Available
44310,Not Available
44512,Not Available
45069,0
45502,Not Available
45431,Not Available
45241,Not Available
74104,0
73801,Not Available
74355,Not Available
74601,Not Available
73070,10
73120,0
74702,Not Available
74361,Not Available
73701,Not Available
74006,Not Available
73644,Not Available
74820,Not Available
73523,Not Available
73533,Not Available
74401,4
73701,Not Available
73112,0
73601,Not Available
73112,Not Available
74501,Not Available
73101,3
74017,Not Available
73401,0
74745,Not Available
74076,Not Available
73018,Not Available
73505,0
74447,Not Available
74301,Not Available
74127,4
74465,10
74136,0
73104,0
73110,0
73505,10
74023,Not Available
74743,Not Available
73109,0
74344,Not Available
74104,4
73942,Not Available
74801,Not Available
73651,Not Available
73075,Not Available
73080,Not Available
74467,Not Available
74571,Not Available
74017,Not Available
74820,Not Available
74133,Not Available
73120,Not Available
74133,0
73159,Not Available
73134,Not Available
74137,Not Available
73099,Not Available
73139,Not Available
73120,6
74132,Not Available
74133,Not Available
73114,Not Available
74055,Not Available
74055,Not Available
74868,Not Available
73135,Not Available
74012,Not Available
73034,Not Available
97058,Not Available
